,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,TOTAL
2019,17288,17288,17288,18457,18457,18457,,,,,,,
2018,"13,648","16,322","26,834","17,630","17,630","17,631","15,304","15,304","15,304","17,086","17,086","17,086","206,863"
2017,"13,117","16,131","20,957","20,735","20,077","19,299","15,966","16,811","16,737","19,142","17,974","22,285","219,231"
2016,"18,269","17,811","18,207","17,720","15,625","16,575","22,960","21,678","20,922","20,046","18,530","21,288","229,631"
2015,"12,553","17,418","20,526","18,224","20,062","17,531","20,791","22,281","18,341","18,660","15,960","20,708","223,055"
2014,"13,278","19,192","20,428","19,214","19,957","21,403","17,683","22,143","17,466","18,699","19,143","20,357","228,963"
2013,"13,463","16,150","18,007","17,157","17,982","18,078","16,393","24,650","15,623","17,555","15,072","15,379","205,509"
2012,"10,208","14,023","13,105","15,446","18,565","18,851","14,391","18,000","14,673","13,384","13,289","16,473","180,408"
2011,"13,269","15,807","15,663","18,413","15,579","14,868","16,873","16,021","13,599","11,687","10,880","14,974","177,633"
2010,"10,061","9,121","12,954","12,181","12,582","13,133","16,799","14,294","12,875","12,569","11,725","17,095","155,389"
